City_ID,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
62,lavrentiya,RU,2023-01-31 11:49:13,67.3065,-168.821,100,96,22.36999999999996,1.41
63,lagoa,PT,2023-01-31 20:49:13,49.0003,-25.0548,79,86,53.61799999999998,11.11
64,hashtrud,IR,2023-02-01 02:19:14,37.2926,46.8818,28,83,32.86400000000003,8.08
65,vardo,NO,2023-02-01 00:49:14,77.9791,35.3278,100,95,12.416000000000007,8.68
66,conceicao da barra,BR,2023-01-31 20:49:15,-20.1062,-36.7339,0,71,78.89000000000001,5.8
67,castro,CL,2023-01-31 15:49:17,-52.5799,-102.697,100,87,47.15600000000003,13.48
68,kirakira,SB,2023-02-01 09:49:17,-8.6651,163.7965,100,69,83.76799999999999,2.41
69,hasaki,JP,2023-02-01 08:49:18,27.2115,154.9107,1,62,67.1,6.06
70,saskylakh,RU,2023-02-01 06:49:18,87.2781,116.8346,75,100,-32.52999999999999,3.39
71,jamestown,SH,2023-01-31 22:49:19,-7.003,-3.1077,100,83,79.86199999999997,5.74
72,kapaa,US,2023-01-31 11:49:19,30.1626,-162.7504,56,84,63.95,5.52
73,longyearbyen,SJ,2023-01-31 23:49:20,83.5775,18.7128,100,100,-22.971999999999987,4.1
74,pisco,PE,2023-01-31 17:49:20,-16.2264,-79.9116,100,78,71.56400000000004,4.38
75,maceio,BR,2023-01-31 20:49:21,-17.9798,-26.2579,13,80,76.67599999999999,7
76,tateyama,JP,2023-02-01 07:49:21,31.057,141.0609,78,58,61.10600000000003,8.87
77,avarua,CK,2023-01-31 11:49:22,-73.521,-166.9912,97,84,29.048000000000023,4.55
78,cherskiy,RU,2023-02-01 09:49:23,82.7491,161.3749,100,98,-16.708000000000006,3.31
79,kavaratti,IN,2023-02-01 04:19:23,10.9654,72.6951,18,79,80.00600000000003,6.3
80,grand gaube,MU,2023-02-01 02:49:23,-17.0645,62.3872,18,74,82.076,4.97
81,sentyabrskiy,RU,2023-02-01 09:49:24,26.4437,164.5364,20,87,73.77799999999996,4.86
82,ostrovnoy,RU,2023-02-01 01:49:24,66.2825,38.9086,100,91,22.658,6.49
83,kruisfontein,ZA,2023-02-01 01:49:25,-75.3623,27.6692,17,91,-23.098000000000027,4.48
84,gayny,RU,2023-02-01 03:49:25,60.6714,53.5137,99,91,26.86999999999996,5.07
85,new norfolk,AU,2023-02-01 08:49:26,-69.4836,126.1023,100,82,3.1640000000000335,1.58
86,georgetown,SH,2023-01-31 21:49:26,-18.7875,-19.6837,1,76,76.28000000000004,6.15
87,nome,US,2023-01-31 13:49:27,67.6272,-163.5183,96,93,11.930000000000039,5.11
88,cabedelo,BR,2023-01-31 20:49:27,-4.9005,-25.8911,29,81,79.64600000000004,7.89
89,blackwater,AU,2023-02-01 08:49:28,-24.272,148.8527,38,58,87.18800000000005,3.33
90,illoqqortoormiut,GL,2023-01-31 19:49:28,79.4372,-20.0238,80,76,-14.782000000000018,3.35
91,mocambique,MZ,2023-02-01 00:49:29,-15.5503,40.678,100,72,82.27400000000002,4.37
92,carai,BR,2023-01-31 19:49:29,-17.1139,-41.6416,46,98,62.024000000000015,0.54
93,trelew,AR,2023-01-31 19:49:30,-43.1877,-66.7593,6,50,62.167999999999985,11.34
94,tungkang,TW,2023-02-01 06:49:30,20.9716,119.9231,83,79,76.15399999999995,6.11
95,labuhan,ID,2023-02-01 04:49:31,-21.5678,92.658,6,76,75.38000000000005,9.13
96,zyryanovsk,KZ,2023-02-01 04:49:31,49.0271,85.1705,100,62,13.640000000000018,2.43
97,aklavik,CA,2023-01-31 13:49:32,72.9796,-139.8155,26,100,-23.15199999999998,3.42
98,egvekinot,RU,2023-02-01 10:49:32,61.855,-179.3375,100,66,32.61199999999995,3.57
99,svetlyy,RU,2023-02-01 04:49:32,48.7583,63.3221,0,76,16.556000000000026,3.74
100,parras,MX,2023-01-31 16:49:33,25.1345,-101.9341,14,51,61.37599999999999,1.92
101,deloraine,CA,2023-01-31 16:49:33,49.3061,-100.3876,100,97,-8.608000000000004,2.13
102,kurilsk,RU,2023-02-01 08:49:34,47.3563,146.6264,100,72,24.961999999999954,2.41
103,oranjemund,NA,2023-01-31 22:49:34,-33.5179,7.246,0,74,65.96600000000001,6.45
104,taolanaro,MG,2023-02-01 01:49:35,-27.502,46.9358,100,61,73.85,8.59
105,nanortalik,GL,2023-01-31 20:49:35,55.5218,-36.8726,100,80,41.035999999999966,7.76
106,sobolevo,RU,2023-02-01 08:49:36,54.5997,151.0455,100,66,18.98599999999997,6.75
107,port blair,IN,2023-02-01 04:49:36,7.7211,91.5091,40,79,80.40199999999999,3.75
108,henties bay,NA,2023-01-31 23:49:36,-21.1381,12.3015,12,85,66.27200000000005,7.03
109,stornoway,GB,2023-01-31 22:49:37,58.2786,-6.6842,99,78,39.36199999999995,0.89
110,katobu,ID,2023-02-01 07:49:37,-5.4825,125.5898,81,76,83.13800000000005,3.98
111,umm durman,SD,2023-02-01 00:49:38,15.5627,31.5973,29,22,72.42799999999997,9.49
112,qaanaaq,GL,2023-01-31 16:49:39,79.2402,-91.6825,0,61,-21.478000000000016,1.9
113,esna,EG,2023-02-01 00:49:39,25.2575,33.4599,0,44,55.958000000000006,5.02
114,satipo,PE,2023-01-31 17:49:40,-10.7322,-74.544,100,99,61.592,0.03
115,mahebourg,MU,2023-02-01 03:49:40,-44.269,74.33,99,63,53.34800000000003,4.63
116,viligili,MV,2023-02-01 03:49:41,1.2032,77.882,14,72,81.78800000000004,6.68
117,flinders,AU,2023-02-01 09:19:41,-29.134,135.2114,0,17,88.08800000000005,7.24
118,tuatapere,NZ,2023-02-01 09:49:42,-49.1477,164.6215,100,98,57.84800000000003,6.64
119,mar del plata,AR,2023-01-31 19:49:42,-58.4958,-41.2104,100,95,36.877999999999965,11.08
120,tiksi,RU,2023-02-01 07:49:43,73.0947,128.6783,100,95,4.135999999999967,5.62
121,shubarshi,KZ,2023-02-01 03:49:43,48.4448,57.613,10,73,17.27599999999999,5.37
122,mitsamiouli,KM,2023-02-01 01:49:43,-7.9747,44.3458,15,75,81.734,2.54
123,port elizabeth,ZA,2023-02-01 01:49:44,-76.7194,31.2888,19,96,-25.654000000000003,2.62
124,ndende,GA,2023-01-31 23:49:44,-2.4473,11.5119,76,95,73.54399999999998,0.91
125,bethel,US,2023-01-31 11:49:45,44.0074,-164.8169,100,75,45.35600000000003,8
126,dupnica,BG,2023-02-01 00:49:45,42.3198,23.076,95,77,28.922000000000036,0.32
127,huilong,CN,2023-02-01 06:49:46,32.5638,122.6796,46,74,46.09399999999997,12.62
128,luena,AO,2023-01-31 23:49:46,-13.2509,18.9917,100,75,68.45,1.5
129,hamilton,BM,2023-01-31 17:49:46,32.0797,-70.3329,100,76,67.65800000000002,5.55
130,codrington,AG,2023-01-31 19:49:47,24.5338,-44.9959,7,74,71.65399999999995,1.61
131,isangel,VU,2023-02-01 10:49:47,-20.0264,178.4105,100,77,83.46199999999996,4.52
132,hovd,MN,2023-02-01 05:49:48,44.4693,98.0007,100,29,21.848000000000024,2.78
133,carnarvon,AU,2023-02-01 04:49:48,-27.1835,92.4802,28,77,70.23200000000003,8.38
